Sample.id,Species,Season,treesp,date,trial.date,C.P.perc,GAE.mg.ml,TAE.mg.ml,S.S.mg.ml,St.mg.ml,TNC.mg.ml
ercd1.18,Juvi,Winter,ERCD,18-Jan,five,19.968,0.053528,0.000877623,0.1936646,0.1563713,0.3500359
ercd1.19,Juvi,Winter,ERCD,19-Jan,six,18.316,0.1066875,0.000883819,0.1861925,0.13504,0.3212325
ercd1.20,Juvi,Winter,ERCD,20-Jan,seven,15.92,0.114075,0.001019965,0.1367647,0.111031,0.2477957
SMAP.7.30.D,Acsa,Summer,SMAP,29-Jul,three,23.653,0.36326,0.001590779,0.0551622,0.0500329,0.1051951
SMAP.7.31.D,Acsa,Summer,SMAP,30-Jul,four,23.432,0.261308,0.001251141,0.0640798,0.0874352,0.151515
SMAP.8.1.D,Acsa,Summer,SMAP,31-Jul,five,16.922,0.296732,0.001059256,0.0768876,0.1043867,0.1812743
SMAP.8.2.D,Acsa,Summer,SMAP,1-Aug,six,26.539,0.235604,0.000987138,0.0908255,0.1563713,0.2471968
SMAP.8.3.D,Acsa,Summer,SMAP,2-Aug,seven,25.955,0.322976,0.001371207,0.0644882,0.1106519,0.1751401
smap1.14,Acsa,Winter,SMAP,14-Jan,one,12.541,0.062588,0,0.0535732,0.0840728,0.137646
smap1.15,Acsa,Winter,SMAP,15-Jan,two,10.058,0.067556,0.000329972,0.0744296,0.0612241,0.1356537
smap1.16,Acsa,Winter,SMAP,16-Jan,three,17.047,0.045524,0,0.1107016,0.0649545,0.1756561
smap1.17,Acsa,Winter,SMAP,17-Jan,four,13.047,0.066044,0.000844716,0.0798704,0.0696175,0.1494879
smap1.18,Acsa,Winter,SMAP,18-Jan,five,10.81,0.05114,0.000895225,0.0803238,0.0612241,0.1415479
smap1.19,Acsa,Winter,SMAP,19-Jan,six,11.008,0.057296,0.000897188,0.0957394,0.0560948,0.1518342
smap1.20,Acsa,Winter,SMAP,20-Jan,seven,13.507,0.07652,0,0.0919556,0.0957226,0.1876782
WASH.7.28.D,Fram,Summer,WASH,27-Jul,one,23.376,0.0352875,0,0.1404951,0.078868,0.2193631
WASH.7.29.D,Fram,Summer,WASH,28-Jul,two,24.92,0.0423375,0,0.1224683,0.1571247,0.279593
WASH.7.31.D,Fram,Summer,WASH,30-Jul,four,22.8315,0.021533,0,0.126612,0.1126741,0.2392861
WASH.8.1.D,Fram,Summer,WASH,31-Jul,five,23.903,0.0393375,0,0.174631,0.1003933,0.2750243
WASH.8.2.D,Fram,Summer,WASH,1-Aug,six,25.37,0.0345896,0.00026984,0.130379,0.1198314,0.2502104
WASH.8.3.D,Fram,Summer,WASH,2-Aug,seven,24.528,0.0297,0,0.1116084,0.08068,0.1922884
wash1.14,Fram,Winter,WASH,14-Jan,one,10.899,0.0358402,0,0.1540178,0.178075,0.3320928
wash1.15,Fram,Winter,WASH,15-Jan,two,14.988,0.036212,0,0.1293039,0.131869,0.2611729
wash1.16,Fram,Winter,WASH,16-Jan,three,10.894,0.0369556,0.000277069,0.1265061,0.170827,0.2973331
wash1.17,Fram,Winter,WASH,17-Jan,four,10.653,0.0166756,0,0.0971292,0.114655,0.2117842
wash1.18,Fram,Winter,WASH,18-Jan,five,9.61,0.0464534,0,0.1554167,0.092005,0.2474217
wash1.19,Fram,Winter,WASH,19-Jan,six,7.146,0.026072,0.00020514,0.10459,0.10333,0.20792
wash1.20,Fram,Winter,WASH,20-Jan,seven,10.13,0.0490222,0,0.1442255,0.130963,0.2751885
WOAK.7.28.D,Qual,Summer,WOAK,27-Jul,one,26.721,0.134732,0.001405974,0.1101856,0.103783,0.2139686
WOAK.7.29.D,Qual,Summer,WOAK,28-Jul,two,18.655,0.227288,0.002761276,0.0991129,0.0795245,0.1786374
WOAK.7.31.D,Qual,Summer,WOAK,30-Jul,four,22.234,0.133004,0.00127555,0.1337693,0.0874352,0.2212045
WOAK.8.1.D,Qual,Summer,WOAK,31-Jul,five,16.068,0.225344,0.002716615,0.111544,0.1043867,0.2159307
woak1.14,Qual,Winter,WOAK,14-Jan,one,10.408,0.0804562,0.000906808,0.1039006,0.110125,0.2140256
woak1.15,Qual,Winter,WOAK,15-Jan,two,10.046,0.0988434,0.001023906,0.1097948,0.103783,0.2135778
woak1.16,Qual,Winter,WOAK,16-Jan,three,9.567,0.0487518,0.000557793,0.0893918,0.146818,0.2362098
woak1.17,Qual,Winter,WOAK,17-Jan,four,10.527,0.0672404,0.000800491,0.083951,0.114202,0.198153
woak1.18,Qual,Winter,WOAK,18-Jan,five,11.64,0.0557146,0.000533831,0.0739762,0.1628775,0.2368537
woak1.19,Qual,Winter,WOAK,19-Jan,six,12.148,0.0678826,0.00080628,0.120223,0.188041,0.308264
woak1.20,Qual,Winter,WOAK,20-Jan,seven,10.7,0.125444,0.001104751,0.0848578,0.1157812,0.200639
WPIN.7.29.D,Pist,Summer,WPIN,28-Jul,two,12.723,0.1141875,0.000723,0.0784772,0.0775446,0.1560218
WPIN.7.30.D,Pist,Summer,WPIN,29-Jul,three,13.242,0.086846,0.000597487,0.0919556,0.0957226,0.1876782
WPIN.7.31.D,Pist,Summer,WPIN,30-Jul,four,12.171,0.1215375,0.000897188,0.0677523,0.0803424,0.1480947
WPIN.8.1.D*,Pist,Summer,WPIN,31-Jul,five,11.422,0.050288,0.000721178,0.092709,0.1477072,0.2404162
WPIN.8.2.D,Pist,Summer,WPIN,1-Aug,six,13.62,0.059252,0.000837038,0.0859284,0.1601383,0.2460667
WPIN.8.3.D,Pist,Summer,WPIN,2-Aug,seven,13.589,0.061871,0.000635548,0.0919556,0.1405499,0.2325055
wpin1.14.20,Pist,Winter,WPIN,14-Jan,one,13.206,0.0843375,0.0007015,0.2000214,0.0947977,0.2948191
wpin1.19.15,Pist,Winter,WPIN,15-Jan,two,18.755,0.096,0.000611859,0.1673766,0.1764002,0.3437768
wpin1.16,Pist,Winter,WPIN,16-Jan,three,18.798,0.081675,0.00061724,0.1673766,0.1764002,0.3437768
wpin1.17,Pist,Winter,WPIN,17-Jan,four,15.75,0.0814875,0.001090554,0.0984598,0.1362984,0.2347582
wpin1.18,Pist,Winter,WPIN,18-Jan,five,16.411,0.1005375,0.000777419,0.1188628,0.1129834,0.2318462
wpin1.19.15,Pist,Winter,WPIN,19-Jan,six,18.755,0.096,0.000611859,0.1673766,0.1764002,0.3437768
wpin1.14.20,Pist,Winter,WPIN,20-Jan,seven,13.206,0.0843375,0.0007015,0.2000214,0.0947977,0.2948191
