Sample.id,Species,Season,Preference,C.P.perc,GAE.mg.ml,TAE.mg.ml,S.S.mg.ml,St.mg.ml,TNC.mg.ml
ercd1.14,Juvi,winter,avoided,18.13,0.10965,0.00082612,0.160546,0.111031,0.271577
ERCD.7.29.D,Juvi,summer,avoided,16.397,0.143625,0.000834001,0.1089071,0.1126741,0.2215812
ERCD.7.31.D,Juvi,summer,avoided,13.317,0.100725,0.000834001,0.0998663,0.1198314,0.2196977
WPIN.8.2.D,Pist,summer,avoided,13.62,0.059252,0.000837038,0.0859284,0.1601383,0.2460667
AELM.8.3.D,Ulam,summer,preferred,9.8115,0.0963084,0.000843263,0.1047634,0.4897508,0.5945142
smap1.17,Acsa,winter,neutral,13.047,0.066044,0.000844716,0.0798704,0.0696175,0.1494879
ERCD.8.1.D,Juvi,summer,avoided,13.4595,0.0996375,0.000853813,0.0994896,0.1055168,0.2050064
AELM.8.1.D,Ulam,summer,preferred,19.779,0.0945846,0.000860976,0.1473305,0.1966782,0.3440087
ercd1.16,Juvi,winter,avoided,21.418,0.1083375,0.000873779,0.1572819,0.129604,0.2868859
ercd1.18,Juvi,winter,avoided,19.968,0.053528,0.000877623,0.1936646,0.1563713,0.3500359
ercd1.19,Juvi,winter,avoided,18.316,0.1066875,0.000883819,0.1861925,0.13504,0.3212325
smap1.18,Acsa,winter,neutral,10.81,0.05114,0.000895225,0.0803238,0.0612241,0.1415479
WPIN.7.31.D,Pist,summer,avoided,12.171,0.1215375,0.000897188,0.0677523,0.0803424,0.1480947
smap1.19,Acsa,winter,neutral,11.008,0.057296,0.000897188,0.0957394,0.0560948,0.1518342
woak1.14,Qual,winter,preferred,10.408,0.0804562,0.000906808,0.1039006,0.110125,0.2140256
ERCD.8.2.D,Juvi,summer,avoided,17.848,0.0989625,0.000914172,0.119078,0.0795245,0.1986025
AELM.7.29.C,Ulam,summer,preferred,20.951,0.0857,0.000918888,0.1197696,0.1269724,0.246742
bwil1.20,Sani,winter,preferred,14.985,0.0940125,0.000924367,0.0770783,0.086116,0.1631943
WPIN.7.29.C,Pist,summer,avoided,15.9325,0.1197375,0.000934787,0.0696175,0.0752131,0.1448306
ERCD.8.3.D,Juvi,summer,avoided,14.971,0.080609,0.000942773,0.1347318,0.1502874,0.2850192
BWIL.7.30.D,Sani,summer,preferred,16.112,0.080636,0.00095279,0.2031952,0.0887358,0.291931
bwil1.14,Sani,winter,preferred,12.858,0.084525,0.000959317,0.1866588,0.064372,0.2510308
aelm1.17,Ulam,winter,neutral,13.947,0.1057048,0.000963704,0.0757898,0.1022585,0.1780483
ERCD.7.30.D,Juvi,summer,avoided,18.333,0.1365596,0.000972941,0.1070744,0.1549504,0.2620248
SMAP.8.2.D,Acsa,summer,avoided,26.539,0.235604,0.000987138,0.0908255,0.1563713,0.2471968
aelm1.16,Ulam,winter,neutral,9.713,0.0785972,0.000992605,0.0635556,0.082945,0.1465006
bwil1.18,Sani,winter,preferred,11.225,0.1156125,0.001013631,0.1736024,0.091099,0.2647014
AELM.7.31.D,Ulam,summer,preferred,17.88,0.1290944,0.001019712,0.0942158,0.2727716,0.3669874
ercd1.20,Juvi,winter,avoided,15.92,0.114075,0.001019965,0.1367647,0.111031,0.2477957
woak1.15,Qual,winter,preferred,10.046,0.0988434,0.001023906,0.1097948,0.103783,0.2135778
AELM.8.2.D,Ulam,summer,preferred,15.29,0.089264,0.001036387,0.0893187,0.186884,0.2762027
SMAP.8.1.D,Acsa,summer,avoided,16.922,0.296732,0.001059256,0.0768876,0.1043867,0.1812743
bwil1.16,Sani,winter,preferred,17.296,0.11145,0.001062546,0.10459,0.041722,0.146312
wpin1.17,Pist,winter,avoided,15.75,0.0814875,0.001090554,0.0984598,0.1362984,0.2347582
aelm1.14,Ulam,winter,neutral,8.65,0.118008,0.001104751,0.1255735,0.142741,0.2683145
woak1.20,Qual,winter,preferred,10.7,0.125444,0.001104751,0.0848578,0.1157812,0.200639
SMAP.7.31.D,Acsa,summer,avoided,23.432,0.261308,0.001251141,0.0640798,0.0874352,0.151515
